일자,요일,RN,지점번호,구분,방향,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
20160701,금,성산로,A-01,유입,봉원고가차도->독립문역,848,662,440,346,349,738,1830,2861,2642,2313,2185,2081,1888,1803,1993,1777,2086,2211,2270,1950,1740,1379,1218,985
20160702,토,성산로,A-01,유입,봉원고가차도->독립문역,758,539,444,335,351,568,903,1161,1690,1994,2003,2197,2165,2156,2189,1983,2110,2138,1849,1590,1226,1342,1264,1058
20160703,일,성산로,A-01,유입,봉원고가차도->독립문역,713,504,413,281,261,399,607,802,1347,1527,1720,1767,1857,1794,1694,1707,1539,1650,1375,1237,1144,1149,959,769
20160704,월,성산로,A-01,유입,봉원고가차도->독립문역,477,345,247,189,307,893,2205,3031,2691,2189,2032,1934,1910,1876,1957,2020,2078,2133,2086,1749,1358,1334,1010,929
20160706,수,성산로,A-01,유입,봉원고가차도->독립문역,718,538,344,286,300,781,1797,2905,2636,2337,2169,2150,2091,1988,2106,2171,2261,2312,2347,1838,1500,1533,1510,1118
20160707,목,성산로,A-01,유입,봉원고가차도->독립문역,847,580,381,309,320,811,1808,2912,2606,2256,2269,2163,2089,1997,2177,2213,2276,2357,2097,1849,1412,1512,1431,1138
20160708,금,성산로,A-01,유입,봉원고가차도->독립문역,861,669,455,325,366,767,1858,2874,2569,2390,2177,2234,2119,2157,2211,2278,2255,2448,2335,2099,1630,1599,1488,1287
20160711,월,성산로,A-01,유입,봉원고가차도->독립문역,494,303,215,215,314,854,2138,2968,2709,2236,1966,2015,1941,1856,1837,2035,2186,2314,2359,1992,1528,1502,1346,1122
20160712,화,성산로,A-01,유입,봉원고가차도->독립문역,742,500,351,260,299,688,1890,2986,2717,2317,1902,2125,1841,1958,2018,2202,2269,2295,2379,1772,1437,1498,1410,1102
20160713,수,성산로,A-01,유입,봉원고가차도->독립문역,817,589,430,296,340,782,1838,2826,2646,2319,2084,2152,1966,1882,2104,2158,2159,2315,2414,1944,1508,1496,1443,1067
20160714,목,성산로,A-01,유입,봉원고가차도->독립문역,785,596,397,275,341,759,1757,2865,2701,2203,2304,2171,2073,1933,1984,2185,2183,2336,2371,2093,1515,1579,1525,1151
20160715,금,성산로,A-01,유입,봉원고가차도->독립문역,830,694,433,338,365,770,1854,2784,2618,2333,2254,2274,2076,2022,2094,2204,2243,2283,2352,1915,1663,1579,1468,1189
20160716,토,성산로,A-01,유입,봉원고가차도->독립문역,847,642,505,348,342,524,861,1123,1583,1859,1930,2042,2032,2057,2043,2085,1969,2111,1783,1419,1272,1180,1035,868
20160717,일,성산로,A-01,유입,봉원고가차도->독립문역,561,389,348,300,274,374,595,869,1305,1611,1769,1908,1889,1924,1837,1748,1603,1712,1571,1365,1202,1167,1046,729
20160718,월,성산로,A-01,유입,봉원고가차도->독립문역,445,322,245,191,279,827,2099,3006,2670,2225,1958,2001,1844,1850,1951,2054,2210,2284,2328,1814,1505,1572,1442,1170
20160720,수,성산로,A-01,유입,봉원고가차도->독립문역,807,577,396,287,326,793,1824,2781,2599,2301,2140,2228,1888,1918,2123,2307,2281,2395,2255,1838,1439,1437,1439,1092
20160721,목,성산로,A-01,유입,봉원고가차도->독립문역,771,575,409,304,331,759,1840,2767,2549,2289,2151,2187,1957,2036,2033,2169,2066,2321,2328,1947,1420,1475,1364,1077
20160722,금,성산로,A-01,유입,봉원고가차도->독립문역,818,673,460,323,326,783,1788,2739,2595,2127,2208,2304,1987,2007,2136,2243,1850,2345,2230,1851,1617,1502,1432,1119
20160723,토,성산로,A-01,유입,봉원고가차도->독립문역,893,708,558,400,381,568,982,1170,1682,1871,2066,2168,2097,2049,1731,1866,1956,1851,1941,1442,1272,1305,1225,989
20160724,일,성산로,A-01,유입,봉원고가차도->독립문역,653,499,372,281,277,382,610,748,1266,1562,1723,1665,1730,1844,1807,1692,1656,1572,1520,1243,1180,1192,1012,760
20160725,월,성산로,A-01,유입,봉원고가차도->독립문역,490,336,240,214,278,791,1962,2970,2665,2154,2015,2177,1973,1904,1927,2030,2065,2162,2156,1776,1491,1475,1372,1043
20160726,화,성산로,A-01,유입,봉원고가차도->독립문역,758,574,383,256,312,727,1817,2814,2569,2180,2051,2212,2092,1985,2020,2143,2263,2233,2215,1900,1459,1492,1448,1167
20160727,수,성산로,A-01,유입,봉원고가차도->독립문역,785,615,412,288,320,715,1751,2726,2549,2270,2143,2210,2035,2013,1977,2219,2224,2331,2234,1856,1387,1425,1365,1043
20160701,금,성산로,A-01,유출,독립문역->봉원고가차도,996,713,480,373,379,509,915,1487,1890,1790,1769,1654,1701,1827,1829,1646,1723,1921,1743,1835,1754,2031,1741,1166
20160702,토,성산로,A-01,유출,독립문역->봉원고가차도,896,587,756,434,424,455,586,779,1283,1440,1599,1484,1698,1698,2034,1970,2030,2076,1790,1625,1640,1553,1373,1011
20160703,일,성산로,A-01,유출,독립문역->봉원고가차도,843,603,498,355,322,332,443,514,771,1062,1244,1386,1427,1641,1822,1852,1995,1870,1671,1473,1409,1344,1026,758
20160704,월,성산로,A-01,유출,독립문역->봉원고가차도,532,379,274,208,253,477,964,1634,1999,1750,1660,1624,1608,1727,1875,1752,1789,1903,2174,2013,1777,1796,1243,1031
20160706,수,성산로,A-01,유출,독립문역->봉원고가차도,819,658,489,391,330,448,801,1494,1899,1554,1595,1638,1593,1752,1825,1757,1936,1853,2341,2154,1905,1897,1701,1324
20160707,목,성산로,A-01,유출,독립문역->봉원고가차도,922,723,442,358,333,513,857,1501,1892,1836,1656,1745,1623,1815,1788,1746,1939,1994,2347,2028,1987,1814,1694,1361
20160708,금,성산로,A-01,유출,독립문역->봉원고가차도,947,745,508,372,363,504,916,1555,1959,1760,1498,1419,1352,1679,1465,1516,1531,1808,1746,2234,1806,1962,1798,1468
20160709,토,성산로,A-01,유출,독립문역->봉원고가차도,1050,828,661,504,453,550,659,846,1342,1069,879,1600,1856,1641,1899,2029,2074,1914,1977,1734,1626,1549,1334,482
20160711,월,성산로,A-01,유출,독립문역->봉원고가차도,511,422,271,197,278,459,929,1505,1838,1702,1547,1406,1347,1463,1447,1309,1409,1807,2284,2143,1861,1807,1624,1172
20160712,화,성산로,A-01,유출,독립문역->봉원고가차도,920,589,417,308,326,481,848,1452,1955,1830,1683,1611,1637,1391,1547,1823,1909,1819,2336,2322,1824,1890,1611,1171
20160713,수,성산로,A-01,유출,독립문역->봉원고가차도,887,701,489,334,313,521,899,1435,1915,1768,1697,1687,1587,1804,1833,1745,1600,1601,2119,2054,1708,1828,1630,1234
20160714,목,성산로,A-01,유출,독립문역->봉원고가차도,880,651,453,343,348,516,935,1500,1853,1773,1637,1575,1617,1755,1819,1733,1460,1922,2463,2181,1974,1903,1757,1223
20160715,금,성산로,A-01,유출,독립문역->봉원고가차도,1023,748,485,411,335,485,924,1469,1880,1710,1728,1634,1633,1807,1838,1803,1861,2162,2071,2070,2053,1919,1804,1356
20160716,토,성산로,A-01,유출,독립문역->봉원고가차도,1076,756,597,459,360,449,567,798,1277,1599,1786,1440,1732,1700,1840,1882,1950,1918,1801,1644,1559,1425,1277,857
20160717,일,성산로,A-01,유출,독립문역->봉원고가차도,670,505,388,311,298,338,422,520,792,1022,1311,1340,1546,1636,1734,1778,1867,1831,1775,1553,1457,1389,1049,763
20160718,월,성산로,A-01,유출,독립문역->봉원고가차도,543,369,249,225,267,443,957,1535,1782,1664,1667,1679,1561,1752,1788,1774,1786,1894,2282,2260,1941,1843,1641,1194
20160720,수,성산로,A-01,유출,독립문역->봉원고가차도,894,613,464,319,306,503,876,1436,1849,1806,1579,1273,1312,1418,1401,1428,1706,1971,2193,2185,1826,1932,1625,1293
20160721,목,성산로,A-01,유출,독립문역->봉원고가차도,901,648,443,402,315,505,847,1357,1734,1731,1673,1621,1599,1760,1740,1707,1952,2057,2322,2084,1865,1925,1686,1349
20160722,금,성산로,A-01,유출,독립문역->봉원고가차도,941,679,494,399,328,480,848,1336,1781,1744,1678,1631,1552,1799,1773,1737,1804,1492,1761,2135,1767,1777,1636,1545
20160723,토,성산로,A-01,유출,독립문역->봉원고가차도,1002,794,613,473,483,486,656,821,1181,1418,1512,1482,1633,1709,1856,1881,1916,2056,1777,1586,1638,1474,1308,1007
20160724,일,성산로,A-01,유출,독립문역->봉원고가차도,735,549,480,333,314,325,417,501,705,1034,1223,1302,1512,1624,1724,1865,1868,1840,1682,1529,1436,1322,1016,751
20160725,월,성산로,A-01,유출,독립문역->봉원고가차도,565,373,280,226,263,481,926,1341,1724,1599,1690,1631,1584,1726,1744,1791,1770,2030,2296,2132,1947,1817,1512,1124
20160726,화,성산로,A-01,유출,독립문역->봉원고가차도,827,578,510,348,455,536,957,1338,1778,1665,1628,1576,1543,1676,1597,1806,1871,1769,1592,2048,1821,1932,1572,1222
20160727,수,성산로,A-01,유출,독립문역->봉원고가차도,942,758,445,346,335,561,836,1305,1735,1698,1678,1615,1703,1769,1667,1695,1827,1987,2258,2158,2076,1874,1577,1216
20160701,금,사직로,A-02,유입,독립문역->사직단,1108,953,690,471,442,921,2093,3262,3238,2725,2612,2653,2210,2086,2340,2023,2323,2331,2365,1987,1822,1480,1344,1138
20160702,토,사직로,A-02,유입,독립문역->사직단,887,791,649,487,473,667,1080,1411,2007,2433,2331,2442,2575,2321,2448,2212,2245,2351,2131,1758,1407,1484,1356,1217
20160703,일,사직로,A-02,유입,독립문역->사직단,836,668,518,353,311,468,685,999,1662,2002,2146,2248,2200,2127,1994,1978,1812,1897,1611,1437,1242,1247,1013,852
20160704,월,사직로,A-02,유입,독립문역->사직단,575,399,292,246,391,1032,2468,3486,3344,2694,2453,2315,2249,2187,2251,2344,2205,2167,2210,1876,1511,1540,1344,1143
20160705,화,사직로,A-02,유입,독립문역->사직단,802,737,463,329,415,796,2036,3066,3248,2429,2415,2420,2250,2229,2364,2351,2426,2439,2168,1785,1392,1632,1477,1211
20160706,수,사직로,A-02,유입,독립문역->사직단,948,736,493,374,410,920,2033,3176,3353,2879,2518,2650,2384,2316,2127,2004,2620,2478,2475,2255,1859,1680,1700,1430
20160707,목,사직로,A-02,유입,독립문역->사직단,1180,875,608,395,414,987,2028,3343,2894,2805,2591,2675,2354,2356,2497,2545,2521,2406,2389,2035,1637,1722,1532,1408
20160708,금,사직로,A-02,유입,독립문역->사직단,1152,966,635,455,439,888,2142,3343,3195,2907,2618,2727,2450,2457,2408,2363,2272,2488,2424,2130,1817,1726,1707,1519
20160709,토,사직로,A-02,유입,독립문역->사직단,1143,996,768,574,537,718,1145,1367,1982,2314,2498,2484,2382,2318,2283,2196,2155,2172,2056,1657,1410,1422,1382,1179
20160710,일,사직로,A-02,유입,독립문역->사직단,822,685,522,379,358,469,781,1048,1630,2064,2080,2190,1999,2083,1991,1885,1943,1816,1661,1436,1275,1264,1117,920
20160711,월,사직로,A-02,유입,독립문역->사직단,621,390,263,261,384,993,2430,3287,3121,2620,2515,2558,2298,2228,2201,2161,2328,2425,2504,2039,1683,1682,1539,1383
20160712,화,사직로,A-02,유입,독립문역->사직단,973,722,508,326,391,805,2156,3431,3347,2769,2402,2610,2210,2226,2412,2467,2532,2403,2458,1947,1596,1694,1602,1381
20160713,수,사직로,A-02,유입,독립문역->사직단,1123,892,585,403,408,932,2093,3133,3361,2808,2556,2731,2421,2256,2441,2422,2288,2428,2509,2079,1624,1631,1564,1379
20160714,목,사직로,A-02,유입,독립문역->사직단,1018,850,558,378,435,872,2027,3262,3345,2677,2703,2630,2539,2305,2365,2536,2348,2482,2446,2203,1745,1769,1621,1377
20160715,금,사직로,A-02,유입,독립문역->사직단,1101,981,648,445,471,932,2088,3207,3324,2863,2590,2681,2503,2402,2384,2520,2386,2497,2274,1947,1756,1777,1551,1419
